name,openapi_url,logo_url,description,category,publish_npm
amazonaws-com-alexaforbusiness,https://api.apis.guru/v2/specs/amazonaws.com/alexaforbusiness/2017-11-09/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,"Alexa for Business helps you use Alexa in your organization. Alexa for Business provides you with the tools to manage Alexa devices, enroll your users, and assign skills, at scale. You can build yo...",Cloud,true
amazonaws-com-amp,https://api.apis.guru/v2/specs/amazonaws.com/amp/2020-08-01/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,Amazon Managed Service for Prometheus,Cloud,true
amazonaws-com-amplify,https://api.apis.guru/v2/specs/amazonaws.com/amplify/2017-07-25/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,Amplify enables developers to develop and deploy cloud-powered mobile and web apps. The Amplify Console provides a continuous delivery and hosting service for web applications. For more information...,Cloud,true
amazonaws-com-amplifybackend,https://api.apis.guru/v2/specs/amazonaws.com/amplifybackend/2020-08-11/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,AWS Amplify Admin API,Cloud,true
amazonaws-com-apigateway,https://api.apis.guru/v2/specs/amazonaws.com/apigateway/2015-07-09/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,"<fullname>Amazon API Gateway</fullname> <p>Amazon API Gateway helps developers deliver robust, secure, and scalable mobile and web application back ends. API Gateway allows developers to securely c...",Cloud,true
amazonaws-com-apigatewaymanagementapi,https://api.apis.guru/v2/specs/amazonaws.com/apigatewaymanagementapi/2018-11-29/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,"The Amazon API Gateway Management API allows you to directly manage runtime aspects of your deployed APIs. To use it, you must explicitly set the SDK's endpoint to point to the endpoint of your dep...",Cloud,true
amazonaws-com-apigatewayv2,https://api.apis.guru/v2/specs/amazonaws.com/apigatewayv2/2018-11-29/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,Amazon API Gateway V2,Cloud,true
amazonaws-com-appconfig,https://api.apis.guru/v2/specs/amazonaws.com/appconfig/2019-10-09/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,"<p>Use AppConfig, a capability of Amazon Web Services Systems Manager, to create, manage, and quickly deploy application configurations. AppConfig supports controlled deployments to applications of...",Cloud,true
amazonaws-com-appflow,https://api.apis.guru/v2/specs/amazonaws.com/appflow/2020-08-23/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,"<p>Welcome to the Amazon AppFlow API reference. This guide is for developers who need detailed information about the Amazon AppFlow API operations, data types, and errors. </p> <p>Amazon AppFlow is...",Cloud,true
amazonaws-com-appintegrations,https://api.apis.guru/v2/specs/amazonaws.com/appintegrations/2020-07-29/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,<p>The Amazon AppIntegrations service enables you to configure and reuse connections to external applications.</p> <p>For information about how you can use external applications with Amazon Connect...,Cloud,true
